scenario_id,step_no,parent_step,trigger,delay_amount,delay_unit,send_time,message_type,content,button1_label,button1_url_or_action,button2_label,button2_url_or_action,button3_label,button3_url_or_action,quick_reply_options,image_url,video_url,file_url,tag_add,tag_remove,set_variable,condition,fire_capi_event,capi_dedupe_key,capi_custom_data,external_action,notes
welcome,1,,friend_add,0,sec,,flex_message,はじめまして、坂本純一(JUN)と申します。まずは「チーム健康度7項目チェック」(A4 1枚)をお先にどうぞ。面談予約されない方でも、これだけはお持ち帰りください。,チェックリストをダウンロード,{{checklist_pdf_url}},Q1は後で。日程だけ先に見る,https://tcal.jp/p/revirall-jun-1on1?line_user_id={{user_id}}&pain_tag=unknown&utm_campaign=v2_skip_quiz,,,,,,,,,,,footer_required:true,Step1 Welcome+互恵性先出し+即予約バイパス,,,
welcome,1a,1,prev_step_done,8,sec,,text,※ご家族と同じスマホを共有されている方は、LINEの通知プレビューをOFFにしておくと安心です。設定→通知→LINE→プレビュー表示「しない」,,,,,,,,,,,,,,,,,,,プレビュー設定ガイド分離
welcome,1.5,1a,prev_step_done,15,sec,,flex_message,続いてのご案内の前に、1点だけお知らせします。本サービスではご登録情報の一部を効果計測のため Meta社（米国）に提供することがあります。同意なしでもご相談・面談は同じようにご利用いただけます（同意はいつでも撤回可）。,同意して進む,set_tag(consent_capi_granted,同意せず利用する,同意せず利用(配信は続けます),詳しい取扱いはこちら,詳しいデータ取扱について,https://[LP_DOMAIN]/legal/privacy#capi,,,,,,,,,,,,Round2修正: 米国移転先をMetaに集約・撤回権明示・文体マイルド化
welcome,2,1.5,prev_step_done,15,sec,,flex_message,私自身、2020年春に自分のチーム600名を3ヶ月で360名まで一気に減らした時期がありました。配信画面を開けない日が3週間続きました。そこから紹介に頼らずメンバーに恩恵を返す形に組み直して、いまは別のコミュニティ運営者の方々の伴走をしています。その遠回りで見えた話を、あなたのチームに合わせて1時間まるごとお伝えします。,,,,,,,,./assets/jun-portrait-400x300.png,,,,,,,,,,,自己開示+規模留保はfootnote_smallで分離
welcome,3,2,prev_step_done,30,sec,,quick_reply,いま、あなたのコミュニティのお悩みにいちばん近いものは、どれでしょうか。,,,,,,,"関係性のこと|cluster_relations,自分のこと|cluster_self,私が抜けたら…|cluster_caretaker,これから始める|status_pre_team,別の悩み|pain_other",,,,status_q1_answered,,,,Lead,{{lp_event_id}},"{""cluster_tag"":""{{first_cluster_tag}}""}",,Q1クラスタ化(paradox of choice緩和)
welcome,3.5_A,3,tag_cluster_relations_added,15,sec,,quick_reply,関係性のお悩みは、どれに近いですか?(ひとつだけ),,,,,,,"リストが尽きた|pain_list_exhausted,反応が落ちた|pain_reaction_down,離脱が続く|pain_churn",,,,seg_main,,,,,,,,副質問A
welcome,3.5_B,3,tag_cluster_self_added,15,sec,,quick_reply,ご自身のお悩みは、どれに近いですか?(ひとつだけ),,,,,,,"方向性に迷う|pain_direction,先輩から離れにくい|pain_senpai_dep,SNSが回らない|pain_sns_dead,家族にまだ話せない|pain_family",,,,seg_main,,,,,,,,副質問B
welcome,3.5_C,3,tag_cluster_caretaker_added,0,sec,,system,,,,,,,,,,,,seg_main pain_caretaker,,,,,,,branch_pain_caretaker起動,直接Branch F へ
welcome,3.5_pre,3,tag_status_pre_team_added,0,sec,,system,,,,,,,,,,,,seg_follow,,,,,,,branch_status_pre_team起動,FOLLOW移行
welcome,3.5_other,3,tag_pain_other_added,0,sec,,system,,,,,,,,,,,,seg_main,,,,,,,branch_pain_other起動,
branch_pain_list_exhausted,1,,tag_pain_list_exhausted_added,45,sec,,text,「もう、送る相手がいない」──私もちょうど5年ほど前、まったく同じ状態でした。,,,,,,,,,,,,,,,,,,,Branch A msg1
branch_pain_list_exhausted,2,1,prev_step_done,8,sec,,text,あの時期、振り返ると「リストが尽きた」のではなく「リストの作り方が、もう古かった」だけでした。,,,,,,,,,,,,,,,,,,,Branch A msg2
branch_pain_list_exhausted,3,2,prev_step_done,15,sec,,flex_message,誰に何を渡せばいいか、紙に書き出すところから一緒に始めましょう。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?line_user_id={{user_id}}&pain_tag={{first_pain_tag}}&fbp={{fbp}}&fbc={{fbc}}&event_id={{lp_event_id}}&utm_source=lstep&utm_medium=line&utm_campaign=v2r3_day0_a,,,,,,,,,,,,,,,,Branch A msg3 CTAパターンA,
