シナリオID,ステップNo,起動条件,待ち時間,送信時刻,本文,ボタン1 ラベル,ボタン1 リンク,ボタン2 ラベル,ボタン2 リンク,クイック返信,添付URL,タグ追加,タグ削除,メモ
welcome,1,friend_add,0秒,,はじめまして、坂本純一(JUN)と申します。まずは「チーム健康度7項目チェック」(A4 1枚)をお先にどうぞ。面談予約されない方でも、これだけはお持ち帰りください。,チェックリストをダウンロード,{{checklist_pdf_url}},Q1は後で。日程だけ先に見る,https://tcal.jp/p/revirall-jun-1on1?line_user_id={{user_id}}&pain_tag=unknown&utm_campaign=v2_skip_quiz,,,,,[計測連携]
welcome,1.5,prev_step_done(親:1),15秒,,続いてのご案内の前に、1点だけお知らせします。本サービスではご登録情報の一部を効果計測のため Meta社（米国）に提供することがあります。同意なしでもご相談・面談は同じようにご利用いただけます（同意はいつでも撤回可）。,同意して進む,set_tag(consent_capi_granted,同意せず利用する,同意せず利用(配信は続けます),https://[LP_DOMAIN]/legal/privacy#capi,,,,Round2修正: 米国移転先をMetaに集約・撤回権明示・文体マイルド化 | R6: parent step1a削除に伴いparent=1へ
welcome,2,prev_step_done(親:1.5),15秒,,私自身、2020年春に自分のチーム600名を3ヶ月で360名まで一気に減らした時期がありました。配信画面を開けない日が3週間続きました。そこから紹介に頼らずメンバーに恩恵を返す形に組み直して、いまは別のコミュニティ運営者の方々の伴走をしています。その遠回りで見えた話を、あなたのチームに合わせて1時間まるごとお伝えします。,,,,,,画像: ./assets/jun-portrait-400x300.png,,,自己開示+規模留保はfootnote_smallで分離
welcome,3,prev_step_done(親:2),30秒,,いま、あなたのコミュニティのお悩みにいちばん近いものは、どれでしょうか。,,,,,"関係性のこと|cluster_relations,自分のこと|cluster_self,私が抜けたら…|cluster_caretaker,打ち手はあるが効かない|cluster_optimization,これから始める|status_pre_team,別の悩み|pain_other",,status_q1_answered,,[計測連携] Q1クラスタ化(paradox of choice緩和) | R6: 向上心型P6用 cluster_optimization 追加
welcome,3.5_A,tag_cluster_relations_added [親:3],15秒,,関係性のお悩みは、どれに近いですか?(ひとつだけ),,,,,"リストが尽きた|pain_list_exhausted,反応が落ちた|pain_reaction_down,離脱が続く|pain_churn",,seg_main,,副質問A
welcome,3.5_B,tag_cluster_self_added [親:3],15秒,,ご自身のお悩みは、どれに近いですか?(ひとつだけ),,,,,"方向性に迷う|pain_direction,先輩から離れにくい|pain_senpai_dep,SNSが回らない|pain_sns_dead,家族にまだ話せない|pain_family",,seg_main,,副質問B
welcome,3.5_C,tag_cluster_caretaker_added [親:3],0秒,,,,,,,,,seg_main pain_caretaker,,[計測連携] 直接Branch F へ
welcome,3.5_pre,tag_status_pre_team_added [親:3],0秒,,,,,,,,,seg_follow,,[計測連携] FOLLOW移行
welcome,3.5_other,tag_pain_other_added [親:3],0秒,,,,,,,,,seg_main,,[計測連携]
branch_pain_list_exhausted,1,tag_pain_list_exhausted_added,45秒,,「もう、送る相手がいない」──私もちょうど5年ほど前、まったく同じ状態でした。,,,,,,,,,Branch A msg1
